Material,Preset,Category,index,name,LinkPath,minPower,maxPower,minPower2,maxPower2,speed,frequency,PPI,JumpSpeed,perfLen,perfSkip,dotTime,bidir,crossHatch,overscan,interval,angle,priority,dotSpacing,tabCount,tabCountMax,cellsPerInch,ditherMode,dpi,floodFill,numPasses
Aluminum,Engrave,General,0,,Aluminum/General/Engrave,72,72,10,20,1000,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Aluminum,Dark,General,0,,Aluminum/General/Dark,72,81,10,20,1500,45000,0,4000,0.01,0.01,1,0,1,0,0.002,45,0,,,,,,,,
Aluminum,White Finish,General,0,,Aluminum/General/White Finish,22,22,10,20,750,45000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Aluminum,Brilliance Laser Ink,Catalyst,0,,Aluminum/Catalyst/Brilliance Laser Ink,22,30,10,20,110,50000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Aluminum,Cut,Cut,0,,Aluminum/Cut/Cut,22,81,10,20,2500,37000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Brass,Engrave,General,0,,Brass/General/Engrave,22,45,10,20,1500,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Brass,Black Deep,General,0,,Brass/General/Black Deep,22,81,10,20,120,50000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Brass,Photo Details,Raster,0,,Brass/Raster/Photo Details,16,81,,20,250,50000,,4000,,,1,,,,0.025,,0,0.01,1,1,200,halftone,1016,,
Copper,Engrave,General,0,,Copper/General/Engrave,22,81,10,20,120,50000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Electro Plating,Engrave,General,0,,Electro Plating/General/Engrave,22,72,10,20,1000,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,General,ABS,0,,Experimental/ABS/General,13,18,10,20,5000,,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Black,ABS,0,,Experimental/ABS/Black,13,36,10,20,3800,200000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,White,ABS,0,,Experimental/ABS/White,13,18,10,20,1500,90000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Tan,Delrin Black,0,,Experimental/Delrin Black/Tan,10,10,10,20,1500,,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Stipple,Glock Polymer,0,,Experimental/Glock Polymer/Stipple,10,36,10,20,3000,190000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Engrave,Glock Polymer,0,,Experimental/Glock Polymer/Engrave,10,27,10,20,2000,190000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,White,CPVC (DANGER),0,,Experimental/CPVC (DANGER)/White,10,16,10,20,1800,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,General,Kydex,0,,Experimental/Kydex/General,10,16,10,20,1800,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Engrave,Tin,0,,Experimental/Tin/Engrave,10,45,10,20,1000,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Gray,Pewter,0,,Experimental/Pewter/Gray,9,9,10,20,220,190000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Silver,Pewter,0,,Experimental/Pewter/Silver,9,9,10,20,330,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Engrave,Rock and Stone,0,,Experimental/Rock and Stone/Engrave,9,63,10,20,2500,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Mark,Browning Firearm Composite,0,,Experimental/Browning Firearm Composite/Mark,9,18,10,20,3050,90000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Mark,Golf Ball,0,,Experimental/Golf Ball/Mark,9,15,10,20,1750,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Experimental,Gray,Glass (Steel Backed),0,,Experimental/Glass (Steel Backed)/Gray,10,81,10,20,1000,,0,4000,0.01,0.01,1,,1,0,0.01,45,0,,,,,,,1,
Experimental,Remove 1 Layer,Cerkote,0,,Experimental/Cerkote/Remove 1 Layer,10,54,10,20,355,45000,0,4000,0.01,0.01,1,0,1,0,0.01,45,0,,,,,,,,
Gold,Base,14K White,0,,Gold/14K White/Base,13,36,10,20,500,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Gold,Cleanup,14K White,0,,Gold/14K White/Cleanup,13,22,10,20,750,45000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Gold,Anneal White,14K White,0,,Gold/14K White/Anneal White,13,45,10,20,2500,190000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Gold,Gold Sparkle (to .001),14K White,0,,Gold/14K White/Gold Sparkle (to .001),13,22,10,20,750,200000,0,4000,0.01,0.01,1,0,1,0,0.002,45,0,,,,,,,,
Gold,Black (to .001),14K White,0,,Gold/14K White/Black (to .001),13,22,10,20,750,25000,0,4000,0.01,0.01,1,0,1,0,0.002,45,0,,,,,,,,
Gold,1 Base,14K White Photo,0,,Gold/14K White Photo/1 Base,16,36,,20,500,25000,,4000,,,1,,,,0.025,,0,0.01,1,1,200,halftone,1016,,
Gold,2 White,14K White Photo,0,,Gold/14K White Photo/2 White,16,45,,20,2500,190000,,4000,,,1,,,,0.025,,0,0.01,1,1,200,halftone,1016,,
Gold,3 Details,14K White Photo,0,,Gold/14K White Photo/3 Details,16,22,,20,750,25000,,4000,,,1,,,,0.025,,0,0.01,1,1,200,halftone,1016,,
Gold,Base,14K Rose,0,,Gold/14K Rose/Base,13,36,10,20,500,25000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Gold,Cleanup,14K Rose,0,,Gold/14K Rose/Cleanup,13,22,10,20,750,45000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
Gold,Bright,14K Rose,0,,Gold/14K Rose/Bright,13,45,10,20,2500,190000,0,4000,0.01,0.01,1,0,1,0,0.025,45,0,,,,,,,,
